2023-03-22 00:48:54.583 [main] INFO  com.spe.project.Calculator-[SQ_ROOT]-123
2023-03-22 00:48:54.588 [main] INFO  com.spe.project.Calculator-[RESULT-SQ_ROOT]-11.090536506409418
2023-03-22 00:48:58.077 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-34
2023-03-22 00:48:58.078 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-33
2023-03-22 00:48:58.078 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-32
2023-03-22 00:48:58.079 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-31
2023-03-22 00:48:58.079 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-30
2023-03-22 00:48:58.079 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-29
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-28
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-27
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-26
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-25
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-24
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-23
2023-03-22 00:48:58.080 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-22
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-21
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-20
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-19
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-18
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-17
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-16
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-15
2023-03-22 00:48:58.081 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-14
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-13
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-12
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-11
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-10
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-9
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-8
2023-03-22 00:48:58.082 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-7
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-6
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-5
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-4
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-3
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-2
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-1
2023-03-22 00:48:58.083 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-0
2023-03-22 00:49:03.369 [main] INFO  com.spe.project.Calculator-[NATURAL_LOG]-222
2023-03-22 00:49:03.369 [main] INFO  com.spe.project.Calculator-[RESULT-NATURAL_LOG]-5.402677381872279
2023-03-22 00:49:08.193 [main] INFO  com.spe.project.Calculator-[SQ_ROOT]-23
2023-03-22 00:49:08.193 [main] INFO  com.spe.project.Calculator-[RESULT-SQ_ROOT]-4.795831523312719
2023-03-22 00:49:15.495 [main] INFO  com.spe.project.Calculator-[POWER of2RAISED TO]3
2023-03-22 00:49:15.496 [main] INFO  com.spe.project.Calculator-[RESULT-POWER]-8.0
2023-03-22 00:49:19.366 [main] INFO  com.spe.project.Calculator-[SQ_ROOT]-3434
2023-03-22 00:49:19.366 [main] INFO  com.spe.project.Calculator-[RESULT-SQ_ROOT]-58.60034129593445
2023-03-22 00:49:24.384 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-344
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-343
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-342
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-341
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-340
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-339
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-338
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-337
2023-03-22 00:49:24.385 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-336
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-335
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-334
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-333
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-332
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-331
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-330
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-329
2023-03-22 00:49:24.386 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-328
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-327
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-326
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-325
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-324
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-323
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-322
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-321
2023-03-22 00:49:24.387 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-320
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-319
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-318
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-317
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-316
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-315
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-314
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-313
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-312
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-311
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-310
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-309
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-308
2023-03-22 00:49:24.388 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-307
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-306
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-305
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-304
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-303
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-302
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-301
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-300
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-299
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-298
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-297
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-296
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-295
2023-03-22 00:49:24.389 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-294
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-293
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-292
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-291
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-290
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-289
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-288
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-287
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-286
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-285
2023-03-22 00:49:24.390 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-284
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-283
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-282
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-281
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-280
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-279
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-278
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-277
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-276
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-275
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-274
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-273
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-272
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-271
2023-03-22 00:49:24.391 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-270
2023-03-22 00:49:24.392 [main] INFO  com.spe.project.Calculator-[FACTORIAL]-269
